Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31/01/2018,Children's Hospital Group,940,Temple Street Children's University Hospital,7200,Paediatric Surgery,Day Case,Child,0-15,  0-3 Months,1
31/01/2018,Children's Hospital Group,940,Temple Street Children's University Hospital,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,1
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,88
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,59
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  6-9 Months,31
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,9
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 12-15 Months,3
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  0-3 Months,2
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,4
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  6-9 Months,2
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64, 12-15 Months,1
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,2
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  3-6 Months,2
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Day Case,Child,0-15,  3-6 Months,1
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Day Case,Child,0-15, 12-15 Months,1
31/01/2018,Children's Hospital Group,941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Inpatient,Child,0-15,  6-9 Months,1
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,27
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,30
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  6-9 Months,1
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  0-3 Months,4
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,5
31/01/2018,Children's Hospital Group,992,National Childrens Hospital at Tallaght University Hospital,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  6-9 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,159
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,81
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,41
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,89
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,32
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,6
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,18+ Months,21
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  0-3 Months,18
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  3-6 Months,18
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  6-9 Months,5
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,  9-12 Months,19
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 12-15 Months,7
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 15-18 Months,3
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,18+ Months,8
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,  0-3 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,  3-6 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,  6-9 Months,119
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64,  9-12 Months,11
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 15-18 Months,3
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,65+,  3-6 Months,1
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,65+,  6-9 Months,16
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,65+,  9-12 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  0-3 Months,113
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  3-6 Months,111
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  6-9 Months,24
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,  9-12 Months,52
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 12-15 Months,27
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 15-18 Months,3
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64,18+ Months,18
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  0-3 Months,23
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  3-6 Months,24
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  6-9 Months,10
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,  9-12 Months,22
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+, 12-15 Months,10
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+, 15-18 Months,3
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,18+ Months,7
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,  0-3 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,  3-6 Months,2
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,  6-9 Months,85
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64,  9-12 Months,17
31/01/2018,Dublin Midlands Hospital Group,102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64, 12-15 Months,1
