Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Specialty,Case Type,Adult/Child,Age Categorisation,Time Bands,Count
2016-01-28,Children's Hospital Group,0940,Childrens University Hospital Temple Street,0000,Small Volume Specialities,Inpatient,Child,0-15, 3-6 Months,1
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 0-3 Months,95
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 3-6 Months,82
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 6-9 Months,14
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 9-12 Months,1
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64, 0-3 Months,2
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,1906,Paed Gastro-Enterol,Day Case,Child,16-64, 3-6 Months,3
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Day Case,Child,0-15, 0-3 Months,1
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Day Case,Child,0-15, 6-9 Months,1
2016-01-28,Children's Hospital Group,0941,Our Lady's Children's Hospital Crumlin,2600,General Surgery,Inpatient,Child,0-15, 0-3 Months,3
2016-01-28,Children's Hospital Group,0992,Tallaght Children's Hospital,0000,Small Volume Specialities,Day Case,Child,0-15, 0-3 Months,4
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 0-3 Months,207
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 3-6 Months,124
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 6-9 Months,132
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64, 9-12 Months,106
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,16-64,12-15 Months,50
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 0-3 Months,37
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 3-6 Months,21
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 6-9 Months,16
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+, 9-12 Months,24
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Adult,65+,12-15 Months,7
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Day Case,Child,0-15, 0-3 Months,1
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 0-3 Months,4
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 3-6 Months,2
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,2600,General Surgery,Inpatient,Adult,16-64, 9-12 Months,1
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 0-3 Months,237
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 3-6 Months,95
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 6-9 Months,155
2016-01-28,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,16-64, 9-12 Months,169
